# fingerprint file for http/default_scanner
# RE: 0 (none) 1 (yes/basic) 2 (yes/case insensitive) 3 (multiple entries) 4 (yes/basic/negated)
# server, RE?, Realm, RegExp?, path/file, RE?, title, RE?, body, RE?, Name, Variant Number
^Embedded Web Server Version,1,NA,0,NA,0,^(OPERATOR|MONITOR) MODE,1,\/cgi-bin\/ope\/master\.cgi,1,Unknown Monitor,1
^Embedded Web Server Version,1,NA,0,NA,0,^(OPERATOR|MONITOR) MODE,1,\/cgi-bin\/moni\/monitop\.cgi,1,Unknown Monitor,1
emhttp,0,NA,0,NA,0,System Page,1,new Array;srvparam\[0\],1,VLinx Serial Adapter,1
^EMWHTTPD\/,1,NA,0,NA,0,Konica Minolta,2,NA,0,Konica Minolta MFD,1
^EMWHTTPD\/,1,NA,0,NA,0,Minolta PageScope,1,NA,0,Minolta Copier,1
epson-http\/,2,NA,0,NA,0,epsonnet\s,2,NA,0,Epson Printer,1
EPSON_Linux UPnP,1,,0,NA,0,WorkForce,1,SEIKO EPSON,1,Epson Workforce MFD,1
EWS-NIC4\/11,1,NA,0,NA,0,\w+\d+\w+,1,NA,0,Lexmark Laser Printer,1
EWS-NIC4/10.66,0,NA,0,NA,0,Phaser (\S+)\s\-,1,NA,0,Xerox Phaser MFD,1
EWS-NIC4\/9,1,NA,0,NA,0,Dell MFP,1,NA,0,Dell Laser Printer,1
EWS-NIC4/8.34,0,NA,0,NA,0,Dell Color Laser \d+\w+,1,NA,0,Dell Color Laser Printer,1
EWS-NIC4/8.34,0,,0,NA,0,,0,NA,0,Dell Color Laser Printer,1
EWS-NIC5\/16,1,NA,0,/index.htm,0,NA,0,status\/status.htm,1,Dell Color Laser Printer,1
EWS-NIC5\/95,1,NA,0,/default.htm,0,WorkCentre,1,NA,0,Xerox WorkCentre MFD,1
EWS-NIC5\/15,1,NA,0,/index.htm,0,Dell\s\S+\sColor\sLaser,1,NA,0,Dell Color Laser Printer,1
ews-nic3\/,2,NA,0,NA,0,dell\scolor\slaser\s,2,NA,0,Dell Color Laser Printer,1
ews-nic3\/,2,NA,0,NA,0,dell\slaser\sprinter\s,2,NA,0,Dell Laser Printer,1
ews\-nic,2,NA,0,NA,0,dell color laser,2,NA,0,Dell Color Laser Printer,1
ews\-nic,2,NA,0,NA,0,/\S+\s\-\S+,1,NA,0,Lexmark Copier,2
ews\-nic,2,NA,0,NA,0,/X\d\d\d\w\s\-\sX\d\d\d\w\-,1,NA,0,Lexmark Copier,2
foundry[\s|\_]networks,2,NA,0,NA,0,NA,0,NA,0,Foundry Network Device,1
gen5th\/,1,NA,0,/en/index.html,0,,0,\/command\/inquiry\.cgi,1,Sony Webcam,1
-IronPort,1,NA,0,\/login,1,: Redirecting ,0,NA,0,IronPort Mail Gateway,1
GoAhead-Webs,0,,0,login\.htm,1,Citrus Login,0,goform\/doGet,1,GigaMon G-Vue Tap,1
GoAhead-Webs,0,NA,0,NA,0,HP Remote Insight,0,NA,0,HP ILOM,1
GoAhead-Webs,0,NA,0,/gf/startpage.htm,0,Login,0,stop_spinner,1,Spectra Tape Library,1
GoAhead-Webs,1,NA,0,NA,0,NA,0,window\.location\.href \= \x22\/page\/login.html\x22,1,American Megatrends MegaRac,1
GoAhead-Webs,1,NA,0,NA,0,MCU Default Page,0,NA,0,Cisco IP VTC,1
GoAhead-Webs,1,NA,0,NA,0,Login,1,\.\.\/Images\/Login\/GWlogin.jpg,1,Cisco IPVC,1
GoAhead-Webs,0,NA,0,/config/log_off_page.htm,0,,0,titlecisco3log,1,Cisco Network Device - SB,1
GoAhead-Webs,1,NA,0,NA,0,^Avocent Switch,1,NA,0,Cyclades Avocent Switch,1
GoAhead-Webs,1,NA,0,NA,0,Cyclades Web Manager,1,NA,0,Cyclades Out-of-band Management,1
GoAhead-Webs,1,NA,0,NA,0,Cyclades\-\S+ Web Manage,1,NA,0,Cyclades Out-of-band Management,2
GoAhead-Webs,1,NA,0,NA,0,Cyclades\-TS800 Web Management Service,1,NA,0,Cyclades Out-of-band Management,3
GoAhead-Webs,1,NA,0,NA,0,authentication page,1,NA,0,Dell Network Switch,1
GoAhead-Webs,1,NA,0,NA,0,unauthorized,1,NA,0,Dell Network Switch,1
GoAhead-Webs,1,,0,/Applications/dellUI/uploadportconfirm.htm,0,,0,NA,0,Dell Remote Access Controller,4
GoAhead-Webs,1,NA,0,NA,0,HP Power Manager,0,NA,0,HP Power Manager,1
GoAhead-Webs,1,NA,0,NA,0,^Index$,1,function AutoLang,1,Lexmark Copier,3
GoAhead-Webs,1,NA,0,\/configurad\/home,2,\/configurad\/cover_frame,2,NA,0,RAD Data NAS,1
GoAhead-Webs,1,NA,0,NA,0,Login,0,\<\!-- Raritan logo --\>,1,Raritan Dominion PDU,1
GoAhead-Webs,1,NA,0,NA,0,Nexsan,1,NA,0,Nexsan NAS,1
GoAhead-Webs,1,NA,0,NA,0,Nexsan SATABeast,1,NA,0,Nexsan SATABeast NAS,1
GoAhead-Webs,1,NA,0,NA,0,Authentication,0,\<td class\=\x22authHeading\x22 align\=\x22center\x22\>Authenticate with Login and Password\!\<\/td\>,1,Tripp-Lite,1
GoAhead-Webs,1,NA,0,/config/log_off_page.htm,0,Authentication Page,0,botCaptionMAC,1,Allied Telesis Switch,1
Gordian Embedded,1,NA,0,NA,0,,0,NA,0,Lantronix Switch,1
Gordian Embedded,1,NA,0,NA,0,Lantronix,1,NA,0,Lantronix Switch,1
Hikvision-Webs,0,,0,/index.asp,0,Index,0,NA,0,HikVision DVR,1
HP Web Jetadmin,1,NA,0,NA,0,NA,0,NA,0,HP Jetadmin,1
httpd,0,NA,0,/start.html,0,,0,NA,0,Dell ILOM,1
HP\-ChaiSOE,1,NA,0,NA,0,NA,0,NA,0,HP Printer,2
HP\-ChaiSOE,1,NA,0,NA,0,LaserJet \w\w\d\d\d\d,1,NA,0,HP Printer,2
HP\-ChaiSOE,1,NA,0,NA,0,LaserJet \w{1\x2c2}\d\d\d\d,1,NA,0,HP Printer,2
HP\-ChaiSOE,1,NA,0,NA,0,NA,0,\<option\s+value=\x22x\x22\>(Printer|Device) Serial Number\:,1,HP Printer,2
HP\-ChaiSOE,1,NA,0,NA,0,LaserJet \d\d\d\d,1,NA,0,HP Printer,3
HP\-ChaiSOE,1,NA,0,NA,0,Digital Sender,1,NA,0,HP Scanner,1
HP\-ChaiServer\/\d\.\d,1,NA,0,NA,0,LaserJet \d\d\d\d,1,NA,0,HP Printer,2
HP\-ChaiServer\/\d\.\d,1,NA,0,NA,0,NA,0,NA,0,HP Printer,2
HP\-ChaiServer\/3\.0,1,NA,0,NA,0,LaserJet \w\w\d\d\d\d,1,NA,0,HP Printer,6
HP_Compact_Server,1,NA,0,NA,0,HP,1,NA,0,HP Printer,2
HP HTTP Server; HP Officejet,1,NA,0,NA,0,,0,NA,0,HP Officejet,1
^HTTP\/1\.0,1,NA,0,NA,0,NA,0,NA,0,HP Printer,2
^HTTP\/1\.0,1,NA,0,NA,0,Digital\s*Sender,1,NA,0,HP Scanner,1
^HTTP\/1\.0,1,NA,0,NA,0,\w\w\d\d\d\d,1,NA,0,Imagistics Copier,1
^HTTP\/1\.0,1,NA,0,NA,0,401 Not Authorized,1,NA,0,Imagistics Copier,1
^HTTP\/1\.0,1,NA,0,NA,0,^\w\w\-\w{1\x2c2}\d{1\x2c3},1,NA,0,Sharp Printer,1
^HTTP\/1\.0,1,NA,0,NA,0,INDEX PAGE,1,NA,0,Sharp Printer,1
^HTTP\/1\.0,1,NA,0,NA,0,\s-\s\w\w\-\d\d\d\d\w,1,NA,0,Sharp Printer,2
^HTTP\/1\.0,1,NA,0,NA,0,TOP PAGE,1,NA,0,Sharp Printer,3
^httpd\/,1,,0,login.htm,1,PacketShaper Login,1,Blue Coat Systems,1,BlueCoat Packet Shaper,1
HTTPD,0,NA,0,NA,0,NA,0,NA,0,Panasonic Network Camera,1
HTTP server,0,NA,0,/index.asp,0,Index,0,NA,0,Dell Color Laser Printer,2
^http server,1,NA,0,NA,0,,0,\+location\.hostname\+'\+8080\+'\/';,1,QNAP NAS,1
^Intellex-Http Server,1,NA,0,NA,0,American Dynamics: Video Management Solutions,0,NA,0,American Dynamics Video,1
^InterNiche Technologies WebServer,1,NA,0,NA,0,Canopy,1,NA,0,Motorola Canopy WAP,1
^InterNiche Technologies WebServer,1,NA,0,NA,0,,0,NA,0,Motorola Canopy WAP,1
^InterNiche Technologies WebServer,1,NA,0,NA,0,- Polycom,1,NA,0,Polycom VTC,1
IQ3,0,NA,0,NA,0,NA,0,NA,0,Trend IQ3XCite Building Automation System,1
IP Speaker Web interface,0,,0,NA,0,IP Speaker,1,SIP Status Page,1,AND Speaker,1
IP Speaker Web interface,0,,0,NA,0,IP Speaker,1,Boot Loader,1,AND Speaker,1
IsItUp,0,NA,0,NA,0,IsItUp Device View,0,NA,0,IsItUp Network Monitor,1
IVC Enterprise Video Server,0,NA,0,NA,0,NA,0,NA,0,IVC Webcam,1
^jc-httpd\/,2,NA,0,NA,0,NA,0,NA,0,Kyocera Copier,1
^Jetty\/,1,,0,NA,0,AMX,0,\/web\/root\/webControl.xml,1,Emerson AMX Controller,1
